"Player","Born","Nation","Pos","Squad","Comp","Age","MP","Min","Gls","Ast","Sh","SoT","CrdY","CrdR","PK","PKatt","Int","TklW","Fls","Fld","Crs","Off","OG","GA","Saves","SoTA","CS","G_PK","Save_pct","Player_clean","tm_name","match_name","name","club","league","position","sub_position","date_of_birth","nationality","market_value_in_eur","nineties","Gls_90","Ast_90","Sh_90","SoT_90","Int_90","TklW_90","Crs_90","GA_90","low_sample"
"Aaron Anselmino",2005,"ar ARG","DF","Dortmund","de Bundesliga",20,9,384,1,0,1,1,0,0,0,0,8,8,6,3,2,0,0,0,0,0,0,1,NA,"Aaron Anselmino",NA,"Aaron Anselmino","Aarón Anselmino","Borussia Dortmund","bundesliga","Defender","Centre-Back","2005-04-29","Argentina",10000000,4.26666666666667,0.23,0,0.23,0.23,1.88,1.88,0.47,0,TRUE
"Aaron Hickey",2002,"sct SCO","DF,MF","Brentford","eng Premier League",23,21,690,0,0,6,1,1,0,0,0,8,7,7,9,4,0,0,0,0,0,0,0,NA,"Aaron Hickey",NA,"Aaron Hickey","Aaron Hickey","Brentford FC","premier-league","Defender","Right-Back","2002-06-10","Scotland",16000000,7.66666666666667,0,0,0.78,0.13,1.04,0.91,0.52,0,FALSE
"Aaron Ramsdale",1998,"eng ENG","GK","Newcastle United","eng Premier League",27,12,1004,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,17,24,38,1,0,63.2,"Aaron Ramsdale",NA,"Aaron Ramsdale","Aaron Ramsdale","Newcastle United","premier-league","Goalkeeper","Goalkeeper","1998-05-14","England",12000000,11.1555555555556,0,0,0,0,0,0,0,1.52,FALSE
"Aaron Wan-Bissaka",1997,"cd COD","DF,MF","West Ham United","eng Premier League",27,25,2081,0,2,0,0,4,0,0,0,41,24,23,12,43,1,0,0,0,0,0,0,NA,"Aaron Wan-Bissaka",NA,"Aaron Wan-Bissaka","Aaron Wan-Bissaka","West Ham United","premier-league","Defender","Right-Back","1997-11-26","DR Congo",15000000,23.1222222222222,0,0.09,0,0,1.77,1.04,1.86,0,FALSE
"Aaron Zehnter",2004,"de GER","DF,MF","Wolfsburg","de Bundesliga",20,20,1456,2,0,11,5,0,0,0,0,16,10,2,0,36,0,0,0,0,0,0,2,NA,"Aaron Zehnter",NA,"Aaron Zehnter","Aaron Zehnter","VfL Wolfsburg","bundesliga","Defender","Left-Back","2004-10-31","Germany",5000000,16.1777777777778,0.12,0,0.68,0.31,0.99,0.62,2.23,0,FALSE
"Aarón Escandell",1995,"es ESP","GK","Oviedo","es La Liga",29,36,3240,0,1,0,0,3,0,0,0,0,0,1,8,0,0,0,56,145,194,10,0,74.7,"Aaron Escandell",NA,"Aaron Escandell","Aarón Escandell","Real Oviedo","laliga","Goalkeeper","Goalkeeper","1995-09-27","Spain",3000000,36,0,0.03,0,0,0,0,0,1.56,FALSE
"Aarón Martín",1997,"es ESP","MF,DF","Genoa","it Serie A",28,33,2156,1,5,11,4,2,0,0,1,10,28,31,27,194,0,0,0,0,0,0,1,NA,"Aaron Martin",NA,"Aaron Martin","Aarón Martín","Genoa CFC","serie-a","Defender","Left-Back","1997-04-22","Spain",5000000,23.9555555555556,0.04,0.21,0.46,0.17,0.42,1.17,8.1,0,FALSE
"Abakar Sylla",2002,"ci CIV","DF","Nantes","fr Ligue 1",22,3,67,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,"Abakar Sylla",NA,"Abakar Sylla","Abakar Sylla","RC Strasbourg Alsace","ligue-1","Defender","Centre-Back","2002-12-25","Cote d'Ivoire",2500000,0.744444444444444,0,0,2.69,0,0,0,0,0,TRUE
"Abdallah Sima",2001,"sn SEN","MF,FW","Lens","fr Ligue 1",24,21,718,2,2,30,9,3,0,0,0,1,5,14,14,14,3,0,0,0,0,0,2,NA,"Abdallah Sima",NA,"Abdallah Sima","Abdallah Sima","RC Lens","ligue-1","Attack","Left Winger","2001-06-17","Senegal",5000000,7.97777777777778,0.25,0.25,3.76,1.13,0.13,0.63,1.75,0,FALSE
"Abde Ezzalzouli",2001,"ma MAR","MF,FW","Real Betis","es La Liga",23,29,2247,10,8,73,26,3,0,0,0,15,32,28,71,55,4,0,0,0,0,0,10,NA,"Abde Ezzalzouli",NA,"Abde Ezzalzouli","Abde Ezzalzouli","Real Betis Balompié","laliga","Attack","Left Winger","2001-12-17","Morocco",40000000,24.9666666666667,0.4,0.32,2.92,1.04,0.6,1.28,2.2,0,FALSE
"Abde Rebbach",1998,"dz ALG","MF,DF","Alavés","es La Liga",26,30,1496,1,4,34,12,8,0,0,0,16,21,40,30,109,5,0,0,0,0,0,1,NA,"Abde Rebbach",NA,"Abde Rebbach","Abde Rebbach","Deportivo Alavés","laliga","Attack","Left Winger","1998-08-11","Algeria",2500000,16.6222222222222,0.06,0.24,2.05,0.72,0.96,1.26,6.56,0,FALSE
"Abdel Abqar",1999,"ma MAR","DF","Getafe","es La Liga",26,23,1437,0,2,7,1,10,1,0,0,20,17,30,36,2,1,0,0,0,0,0,0,NA,"Abdel Abqar",NA,"Abdel Abqar","Abdel Abqar","Getafe CF","laliga","Defender","Centre-Back","1999-03-10","Morocco",3500000,15.9666666666667,0,0.13,0.44,0.06,1.25,1.06,0.13,0,FALSE
"Abdelhamid Ait Boudlal",2006,"ma MAR","DF","Rennes","fr Ligue 1",19,20,1403,2,1,13,4,3,1,0,0,18,11,14,10,2,1,0,0,0,0,0,2,NA,"Abdelhamid Ait Boudlal",NA,"Abdelhamid Ait Boudlal","Abdelhamid Ait Boudlal","Stade Rennais FC","ligue-1","Defender","Centre-Back","2006-04-16","Morocco",12000000,15.5888888888889,0.13,0.06,0.83,0.26,1.15,0.71,0.13,0,FALSE
