"Player","Born","Nation","Pos","Squad","Comp","Age","MP","Min","Gls","Ast","Sh","SoT","CrdY","CrdR","Player_clean","tm_name","match_name","name","club","league","position","sub_position","date_of_birth","nationality","market_value_in_eur"
"Aaron Anselmino",2005,"ar ARG","DF","Dortmund","de Bundesliga",20,9,384,1,0,1,1,0,0,"Aaron Anselmino",NA,"Aaron Anselmino","Aarón Anselmino","Borussia Dortmund","bundesliga","Defender","Centre-Back",2005-04-29,"Argentina",10000000
"Aaron Hickey",2002,"sct SCO","DF,MF","Brentford","eng Premier League",23,21,690,0,0,6,1,1,0,"Aaron Hickey",NA,"Aaron Hickey","Aaron Hickey","Brentford FC","premier-league","Defender","Right-Back",2002-06-10,"Scotland",16000000
"Aaron Ramsdale",1998,"eng ENG","GK","Newcastle United","eng Premier League",27,12,1004,0,0,0,0,2,0,"Aaron Ramsdale",NA,"Aaron Ramsdale","Aaron Ramsdale","Newcastle United","premier-league","Goalkeeper","Goalkeeper",1998-05-14,"England",12000000
"Aaron Wan-Bissaka",1997,"cd COD","DF,MF","West Ham United","eng Premier League",27,25,2081,0,2,0,0,4,0,"Aaron Wan-Bissaka",NA,"Aaron Wan-Bissaka","Aaron Wan-Bissaka","West Ham United","premier-league","Defender","Right-Back",1997-11-26,"DR Congo",15000000
"Aaron Zehnter",2004,"de GER","DF,MF","Wolfsburg","de Bundesliga",20,20,1456,2,0,11,5,0,0,"Aaron Zehnter",NA,"Aaron Zehnter","Aaron Zehnter","VfL Wolfsburg","bundesliga","Defender","Left-Back",2004-10-31,"Germany",5000000
"Aarón Escandell",1995,"es ESP","GK","Oviedo","es La Liga",29,36,3240,0,1,0,0,3,0,"Aaron Escandell",NA,"Aaron Escandell","Aarón Escandell","Real Oviedo","laliga","Goalkeeper","Goalkeeper",1995-09-27,"Spain",3000000
"Aarón Martín",1997,"es ESP","MF,DF","Genoa","it Serie A",28,33,2156,1,5,11,4,2,0,"Aaron Martin",NA,"Aaron Martin","Aarón Martín","Genoa CFC","serie-a","Defender","Left-Back",1997-04-22,"Spain",5000000
"Abakar Sylla",2002,"ci CIV","DF","Nantes","fr Ligue 1",22,3,67,0,0,2,0,0,0,"Abakar Sylla",NA,"Abakar Sylla","Abakar Sylla","RC Strasbourg Alsace","ligue-1","Defender","Centre-Back",2002-12-25,"Cote d'Ivoire",2500000
"Abdallah Sima",2001,"sn SEN","MF,FW","Lens","fr Ligue 1",24,21,718,2,2,30,9,3,0,"Abdallah Sima",NA,"Abdallah Sima","Abdallah Sima","RC Lens","ligue-1","Attack","Left Winger",2001-06-17,"Senegal",5000000
"Abde Ezzalzouli",2001,"ma MAR","MF,FW","Real Betis","es La Liga",23,29,2247,10,8,73,26,3,0,"Abde Ezzalzouli",NA,"Abde Ezzalzouli","Abde Ezzalzouli","Real Betis Balompié","laliga","Attack","Left Winger",2001-12-17,"Morocco",40000000
